Receiver ID,Block Date,Block Heights not present in Index Files,Block Heights not present in Databricks,True if unique block heights are the same between the two lists
hostilegenerator1884353256.u.arkana.near,2024-03-21,115164283,115164283,True
hugemedallion3965346698.u.arkana.near,2024-03-21,115160652,115160652,True
humorlessmist758573706.u.arkana.near,2024-03-21,"115157988,115160223","115157988,115160223",True
hypodermiccrucible2815359628.u.arkana.near,2024-03-21,115175420,115175420,True
icyrepulsion7257336590.u.arkana.near,2024-03-21,115150332,115150332,True
hystericalslide5302267154.u.arkana.near,2024-03-21,115170355,115170355,True
idealisticbuffet2358305011.u.arkana.near,2024-03-21,115172361,115172361,True
idlehemline4320177665.u.arkana.near,2024-03-21,115170039,115170039,True
illicitbattering8942133800.u.arkana.near,2024-03-21,115184537,115184537,True
ihkar-cosmos.near,2024-03-21,115175388,115175388,True
immaculatewayfarer202850410.u.arkana.near,2024-03-21,115155886,115155886,True
imposingsabra6768296471.u.arkana.near,2024-03-21,115167342,115167342,True
impassablewalkway2570341250.u.arkana.near,2024-03-21,115170126,115170126,True
impropermurderer3887202887.u.arkana.near,2024-03-21,115177049,115177049,True
impurestupor1731203661.u.arkana.near,2024-03-21,115159724,115159724,True
inappropriaterun-up1376296290.u.arkana.near,2024-03-21,115160887,115160887,True
incomingemigre86733683.u.arkana.near,2024-03-21,115161281,115161281,True
inconsistentvet3310359268.u.arkana.near,2024-03-21,115166281,115166281,True
inconspicuousintoxication4574309838.u.arkana.near,2024-03-21,115168990,115168990,True
inconclusivearrival2638.u.arkana.near,2024-03-21,115157159,115157159,True
indestructibletomboy1472287105.u.arkana.near,2024-03-21,"115151952,115152942","115151952,115152942",True
incrediblehamster196532153.u.arkana.near,2024-03-21,"115162735,115163924,115174367","115162735,115163924,115174367",True
independentvampire595115482.u.arkana.near,2024-03-21,"115161665,115167142,115167678","115161665,115167142,115167678",True
indigenousopportunist2472314404.u.arkana.near,2024-03-21,115156229,115156229,True
indeterminatevapor5978107052.u.arkana.near,2024-03-21,115164607,115164607,True
indebtedinitiative2415359205.u.arkana.near,2024-03-21,115162059,115162059,True
indoorpanel7863127607.u.arkana.near,2024-03-21,115174560,115174560,True
indomitablepungency3089263149.u.arkana.near,2024-03-21,115166474,115166474,True
ineffabledustpan4558318172.u.arkana.near,2024-03-21,115151929,115151929,True
inferiorpoint-of-view4662358255.u.arkana.near,2024-03-21,115154963,115154963,True
infinitehaunting5003357572.u.arkana.near,2024-03-21,115170642,115170642,True
inexperiencedkeel456257027.u.arkana.near,2024-03-21,115159788,115159788,True
inflationarydictionary642450980.u.arkana.near,2024-03-21,115156157,115156157,True
inlaidstout7575317311.u.arkana.near,2024-03-21,115162782,115162782,True
informalgroan782271408.u.arkana.near,2024-03-21,115166707,115166707,True
informeddiminutive5759118062.u.arkana.near,2024-03-21,115163675,115163675,True
infraredbushel533341572.u.arkana.near,2024-03-21,115152724,115152724,True
insignificantpreamble6641310650.u.arkana.near,2024-03-21,115158763,115158763,True
insolublelongshoreman6516346817.u.arkana.near,2024-03-21,115183577,115183577,True
instantaneousrut8692302239.u.arkana.near,2024-03-21,"115176945,115177045","115176945,115177045",True
inscrutableworkplace6810359143.u.arkana.near,2024-03-21,115158583,115158583,True
invalidloin1932199060.u.arkana.near,2024-03-21,"115150472,115163193","115150472,115163193",True
inventivecanyon5643317473.u.arkana.near,2024-03-21,115152857,115152857,True
institutionalrunner8357186837.u.arkana.near,2024-03-21,115172929,115172929,True
introductorycommandant8875347696.u.arkana.near,2024-03-21,115171142,115171142,True
invinciblephobia4796345760.u.arkana.near,2024-03-21,115172920,115172920,True
invisibleair2507360083.u.arkana.near,2024-03-21,115184774,115184774,True
irritatedtram1427268022.u.arkana.near,2024-03-21,115159055,115159055,True
itinerantstationmaster5379.u.arkana.near,2024-03-21,115175786,115175786,True
isamael-almeida.near,2024-03-21,"115160862,115160883","115160862,115160883",True
jhildebrand.near,2024-03-21,"115172628,115172643,115172654,115172672,115172711,115172723,115172734","115172628,115172643,115172654,115172672,115172711,115172723,115172734",True
johanna-mu1992.near,2024-03-21,"115173489,115173502,115173611,115173625,115173638","115173489,115173502,115173611,115173625,115173638",True
joyfulhomosexual6291327276.u.arkana.near,2024-03-21,115161627,115161627,True
justabstention8898122809.u.arkana.near,2024-03-21,115151189,115151189,True
joyousstriker2564303464.u.arkana.near,2024-03-21,115168542,115168542,True
leveragedfang818824037.u.arkana.near,2024-03-21,115180420,115180420,True
kekoferi.near,2024-03-21,"115155400,115155434,115155448,115155467,115155477,115155765,115155778,115155786,115155801,115155806","115155400,115155434,115155448,115155467,115155477,115155765,115155778,115155786,115155801,115155806",True
