Receiver ID,Block Date,Block Heights not present in Index Files,Block Heights not present in Databricks
enterprisingpost-mortem3794309438.u.arkana.near,2024-03-21,"115170315,115170449","115170315,115170449"
enhancedprocedure4253309688.u.arkana.near,2024-03-21,"115163400,115163433","115163400,115163433"
eloquentcharacter6450188764.u.arkana.near,2024-03-21,115180345,115180345
embroideredshuttle5719267972.u.arkana.near,2024-03-21,115155811,115155811
enchantedtration3428359710.u.arkana.near,2024-03-21,115175660,115175660
emotionaloutpatient6712189897.u.arkana.near,2024-03-21,115158411,115158411
epicperiod8632.u.arkana.near,2024-03-21,115164789,115164789
erraticrepeat4914342764.u.arkana.near,2024-03-21,"115157184,115169907","115157184,115169907"
esotericaqueduct3917356816.u.arkana.near,2024-03-21,115164852,115164852
estheticbranch2742171284.u.arkana.near,2024-03-21,115172832,115172832
estheticclosing2207231596.u.arkana.near,2024-03-21,115171086,115171086
evilkingmaker1006265603.u.arkana.near,2024-03-21,115155635,115155635
evasiveexpansion2764307911.u.arkana.near,2024-03-21,115155650,115155650
eucalyptusbrooch7497345917.u.arkana.near,2024-03-21,115156675,115156675
everydayharridan5561315048.u.arkana.near,2024-03-21,115158458,115158458
ethicalexaltation8917314212.u.arkana.near,2024-03-21,115156074,115156074
excellentmenace843753967.u.arkana.near,2024-03-21,115159548,115159548
exemptausterity1504109986.u.arkana.near,2024-03-21,115160221,115160221
excitedstrait2955257750.u.arkana.near,2024-03-21,"115168079,115168555,115168631,115172895,115175833","115168079,115168555,115168631,115172895,115175833"
exiledracer1667180524.u.arkana.near,2024-03-21,115175343,115175343
expressivespill174574846.u.arkana.near,2024-03-21,115154251,115154251
extantadventure695038175.u.arkana.near,2024-03-21,115157128,115157128
extremecreditor8064350508.u.arkana.near,2024-03-21,"115172439,115172573","115172439,115172573"
extinctoblivion502923297.u.arkana.near,2024-03-21,115154067,115154067
exultantidol6060146299.u.arkana.near,2024-03-21,115183020,115183020
fairbanishment7900343667.u.arkana.near,2024-03-21,115171508,115171508
fairracist8533134744.u.arkana.near,2024-03-21,115168593,115168593
